Step: 314 Station Capacity Increased : {'cs_0': 0, 'cs_1': 2, 'cs_10': 0, 'cs_11': 2, 'cs_12': 0, 'cs_13': 0, 'cs_14': 0, 'cs_15': 1, 'cs_16': 0, 'cs_17': 0, 'cs_18': 2, 'cs_19': 0, 'cs_2': 1, 'cs_20': 0, 'cs_21': 0, 'cs_22': 0, 'cs_23': 0, 'cs_24': 0, 'cs_25': 0, 'cs_26': 1, 'cs_27': 0, 'cs_3': 0, 'cs_4': 0, 'cs_5': 0, 'cs_6': 2, 'cs_7': 0, 'cs_8': 0, 'cs_9': 1}
Step: 344 Station Capacity Increased : {'cs_0': 0, 'cs_1': 2, 'cs_10': 0, 'cs_11': 2, 'cs_12': 0, 'cs_13': 0, 'cs_14': 0, 'cs_15': 1, 'cs_16': 0, 'cs_17': 0, 'cs_18': 2, 'cs_19': 0, 'cs_2': 1, 'cs_20': 0, 'cs_21': 0, 'cs_22': 0, 'cs_23': 0, 'cs_24': 0, 'cs_25': 0, 'cs_26': 1, 'cs_27': 0, 'cs_3': 0, 'cs_4': 1, 'cs_5': 0, 'cs_6': 2, 'cs_7': 0, 'cs_8': 0, 'cs_9': 1}
Step: 346 Station Capacity Decreased: {'cs_0': 0, 'cs_1': 2, 'cs_10': 0, 'cs_11': 2, 'cs_12': 0, 'cs_13': 0, 'cs_14': 0, 'cs_15': 1, 'cs_16': 0, 'cs_17': 0, 'cs_18': 2, 'cs_19': 0, 'cs_2': 1, 'cs_20': 0, 'cs_21': 0, 'cs_22': 0, 'cs_23': 0, 'cs_24': 0, 'cs_25': 0, 'cs_26': 0, 'cs_27': 0, 'cs_3': 0, 'cs_4': 1, 'cs_5': 0, 'cs_6': 2, 'cs_7': 0, 'cs_8': 0, 'cs_9': 1}
Step: 346 Station Capacity Increased : {'cs_0': 0, 'cs_1': 2, 'cs_10': 0, 'cs_11': 2, 'cs_12': 0, 'cs_13': 0, 'cs_14': 0, 'cs_15': 1, 'cs_16': 0, 'cs_17': 0, 'cs_18': 2, 'cs_19': 0, 'cs_2': 1, 'cs_20': 0, 'cs_21': 0, 'cs_22': 0, 'cs_23': 1, 'cs_24': 0, 'cs_25': 0, 'cs_26': 0, 'cs_27': 0, 'cs_3': 0, 'cs_4': 1, 'cs_5': 0, 'cs_6': 2, 'cs_7': 0, 'cs_8': 0, 'cs_9': 1}
Step: 352 Station Capacity Decreased: {'cs_0': 0, 'cs_1': 2, 'cs_10': 0, 'cs_11': 2, 'cs_12': 0, 'cs_13': 0, 'cs_14': 0, 'cs_15': 1, 'cs_16': 0, 'cs_17': 0, 'cs_18': 2, 'cs_19': 0, 'cs_2': 0, 'cs_20': 0, 'cs_21': 0, 'cs_22': 0, 'cs_23': 1, 'cs_24': 0, 'cs_25': 0, 'cs_26': 0, 'cs_27': 0, 'cs_3': 0, 'cs_4': 1, 'cs_5': 0, 'cs_6': 2, 'cs_7': 0, 'cs_8': 0, 'cs_9': 1}
Step: 352 Station Capacity Increased : {'cs_0': 0, 'cs_1': 2, 'cs_10': 0, 'cs_11': 2, 'cs_12': 0, 'cs_13': 0, 'cs_14': 0, 'cs_15': 2, 'cs_16': 0, 'cs_17': 0, 'cs_18': 2, 'cs_19': 0, 'cs_2': 0, 'cs_20': 0, 'cs_21': 0, 'cs_22': 0, 'cs_23': 1, 'cs_24': 0, 'cs_25': 0, 'cs_26': 0, 'cs_27': 0, 'cs_3': 0, 'cs_4': 1, 'cs_5': 0, 'cs_6': 2, 'cs_7': 0, 'cs_8': 0, 'cs_9': 1}
Step: 358 Station Capacity Decreased: {'cs_0': 0, 'cs_1': 2, 'cs_10': 0, 'cs_11': 1, 'cs_12': 0, 'cs_13': 0, 'cs_14': 0, 'cs_15': 2, 'cs_16': 0, 'cs_17': 0, 'cs_18': 2, 'cs_19': 0, 'cs_2': 0, 'cs_20': 0, 'cs_21': 0, 'cs_22': 0, 'cs_23': 1, 'cs_24': 0, 'cs_25': 0, 'cs_26': 0, 'cs_27': 0, 'cs_3': 0, 'cs_4': 1, 'cs_5': 0, 'cs_6': 2, 'cs_7': 0, 'cs_8': 0, 'cs_9': 1}
Step: 358 Station Capacity Increased : {'cs_0': 0, 'cs_1': 2, 'cs_10': 0, 'cs_11': 1, 'cs_12': 0, 'cs_13': 0, 'cs_14': 0, 'cs_15': 2, 'cs_16': 0, 'cs_17': 0, 'cs_18': 2, 'cs_19': 0, 'cs_2': 1, 'cs_20': 0, 'cs_21': 0, 'cs_22': 0, 'cs_23': 1, 'cs_24': 0, 'cs_25': 0, 'cs_26': 0, 'cs_27': 0, 'cs_3': 0, 'cs_4': 1, 'cs_5': 0, 'cs_6': 2, 'cs_7': 0, 'cs_8': 0, 'cs_9': 1}
Step: 362 Station Capacity Increased : {'cs_0': 0, 'cs_1': 2, 'cs_10': 0, 'cs_11': 1, 'cs_12': 0, 'cs_13': 1, 'cs_14': 0, 'cs_15': 2, 'cs_16': 0, 'cs_17': 0, 'cs_18': 2, 'cs_19': 0, 'cs_2': 1, 'cs_20': 0, 'cs_21': 0, 'cs_22': 0, 'cs_23': 1, 'cs_24': 0, 'cs_25': 0, 'cs_26': 0, 'cs_27': 0, 'cs_3': 0, 'cs_4': 1, 'cs_5': 0, 'cs_6': 2, 'cs_7': 0, 'cs_8': 0, 'cs_9': 1}
Step: 370 Station Capacity Decreased: {'cs_0': 0, 'cs_1': 2, 'cs_10': 0, 'cs_11': 1, 'cs_12': 0, 'cs_13': 1, 'cs_14': 0, 'cs_15': 2, 'cs_16': 0, 'cs_17': 0, 'cs_18': 2, 'cs_19': 0, 'cs_2': 1, 'cs_20': 0, 'cs_21': 0, 'cs_22': 0, 'cs_23': 1, 'cs_24': 0, 'cs_25': 0, 'cs_26': 0, 'cs_27': 0, 'cs_3': 0, 'cs_4': 1, 'cs_5': 0, 'cs_6': 1, 'cs_7': 0, 'cs_8': 0, 'cs_9': 1}
